run,examples,exact_match,token_f1,jaccard,repeated_prev_query,avg_generated_length,avg_target_length
simple_baseline,32,0.0,0.18754111466856704,0.11472349847334598,0.0,10.5,10.9375
llm_v1,32,0.0,0.2566094578897761,0.15581031798056957,0.0,13.1875,10.9375
llm_v2,32,0.0,0.24062218550741146,0.14591376192018524,0.0,9.28125,10.9375
llm_v3_fewshot,32,0.0,0.2542528058203536,0.15620077449532752,0.0,11.1875,10.9375
llm_v4_retrieval_fewshot,32,0.0,0.26834392130524687,0.16489299323326026,0.0,9.65625,10.9375
llm_context_v1,32,0.0,0.27572448624520096,0.17154490241546594,0.0,11.125,10.9375
llm_context_retrieval_fewshot_v2,32,0.0,0.26651727158125915,0.1657165113801276,0.0,10.09375,10.9375
llm_context_prompt_v2,32,0.0,0.27835094884552847,0.1752654834054585,0.0,12.59375,10.9375
llm_context_hybrid_router,32,0.0,0.2997914814882736,0.19174179627498122,0.0,11.09375,10.9375
